,0
0,13
1,6
2,6
3,23
4,46
5,46
6,40
7,29
8,46
9,46
10,46
11,33
12,34
13,33
14,40
15,46
16,46
17,46
18,3
19,30
20,46
21,33
22,23
23,46
24,40
25,40
26,46
27,30
28,30
29,46
30,3
31,46
32,46
33,6
34,23
35,46
36,33
37,4
38,30
39,46
40,23
41,46
42,33
43,36
44,46
45,40
46,22
47,40
48,46
49,46
50,23
51,40
52,33
53,33
54,46
55,40
56,46
57,23
58,40
59,33
60,46
61,40
62,30
63,23
64,40
65,46
66,46
67,46
68,30
69,33
70,40
71,3
72,40
73,6
74,30
75,46
76,33
77,40
78,30
79,46
80,34
81,40
82,41
83,46
84,46
85,40
86,33
87,6
88,6
89,23
90,40
91,33
92,23
93,6
94,30
95,33
96,23
97,9
98,23
99,40
100,30
101,33
102,33
103,46
104,41
105,6
106,23
107,30
108,23
109,23
110,9
111,33
112,30
113,46
114,22
115,46
116,40
117,46
118,6
119,46
120,23
121,6
122,46
123,33
124,23
125,46
126,40
127,46
128,46
129,46
130,23
131,23
132,23
133,33
134,40
135,46
136,23
137,30
138,30
139,46
140,30
141,23
142,40
143,6
144,33
145,46
146,46
147,6
148,34
149,46
150,3
151,46
152,30
153,46
154,40
155,23
156,23
157,40
158,40
159,40
160,33
161,30
162,46
163,46
164,23
165,33
166,46
167,23
168,30
169,23
170,15
171,46
172,33
173,33
174,30
175,24
176,40
177,23
178,22
179,33
180,46
181,46
182,40
183,33
184,41
185,33
186,46
187,40
188,33
189,30
190,46
191,46
192,40
193,46
194,33
195,40
196,46
197,30
198,46
199,30
200,22
201,46
202,33
203,33
204,46
205,46
206,23
207,46
208,40
209,33
210,46
211,33
212,34
213,46
214,30
215,30
216,23
217,23
218,6
219,46
220,30
221,23
222,33
223,46
224,40
225,23
226,33
227,30
228,46
229,46
230,46
231,40
232,40
233,47
234,22
235,46
236,23
237,46
238,33
239,22
240,33
241,33
242,6
243,6
244,46
245,40
246,30
247,46
248,46
249,30
250,23
251,23
252,23
253,30
254,3
255,46
256,3
257,30
258,46
259,46
260,22
261,30
262,41
263,22
264,46
265,46
266,46
267,40
268,22
269,30
270,23
271,40
272,46
273,40
274,33
275,6
276,33
277,46
278,30
279,49
280,22
281,23
282,4
283,23
284,40
285,30
286,30
287,46
288,6
289,46
290,46
291,30
292,46
293,30
294,33
295,33
296,23
297,15
298,46
299,23
300,40
301,40
302,46
303,46
304,46
305,40
306,33
307,30
308,30
309,6
310,46
311,40
312,46
313,33
314,46
315,46
316,40
317,46
318,30
319,40
320,23
321,30
322,46
323,46
324,33
325,46
326,23
327,22
328,23
329,46
330,22
331,46
332,33
333,3
334,46
335,6
336,23
337,46
338,22
339,33
340,46
341,22
342,33
343,22
344,46
345,46
346,22
347,23
348,40
349,23
350,46
351,6
352,22
353,33
354,35
355,40
356,23
357,23
358,3
359,46
360,46
361,40
362,46
363,6
364,46
365,46
366,46
367,46
368,30
369,46
370,40
371,30
372,46
373,33
374,33
375,46
376,40
377,33
378,40
379,46
380,46
381,23
382,46
383,4
384,46
385,3
386,22
387,46
388,46
389,46
390,6
391,46
392,46
393,40
394,46
395,23
396,36
397,19
398,12
399,46
400,46
401,6
402,36
403,6
404,22
405,46
406,6
407,23
408,46
409,46
410,30
411,23
412,33
413,23
414,46
415,30
416,30
417,23
418,30
419,46
420,23
421,46
422,46
423,22
424,16
425,46
426,41
427,46
428,30
429,23
430,46
431,30
432,23
433,46
434,23
435,40
436,40
437,46
438,23
439,23
440,46
441,3
442,23
443,46
444,46
445,40
446,23
447,22
448,46
449,23
450,23
451,33
452,46
453,9
454,46
455,23
456,46
457,40
458,46
459,40
460,30
461,33
462,46
463,40
464,33
465,46
466,23
467,30
468,23
469,6
470,23
471,9
472,46
473,30
474,46
475,46
476,23
477,33
478,46
479,46
480,23
481,40
482,33
483,46
484,23
485,46
486,40
487,40
488,23
489,30
490,46
491,46
492,46
493,41
494,22
495,6
496,46
497,22
498,46
499,30
500,23
501,46
502,46
503,46
504,30
505,30
506,33
507,40
508,22
509,46
510,40
511,46
512,40
513,46
514,46
515,46
516,40
517,33
518,46
519,30
520,46
521,33
522,23
523,46
524,30
525,46
526,46
527,46
528,23
529,46
530,9
531,40
532,33
533,40
534,23
535,34
536,33
537,46
538,46
539,46
540,33
541,46
542,23
543,40
544,46
545,46
546,3
547,23
548,3
549,6
550,33
551,38
552,46
553,46
554,46
555,6
556,23
557,46
558,46
559,22
560,30
561,46
562,3
563,46
564,23
565,6
566,23
567,30
568,6
569,33
570,46
571,46
572,40
573,46
574,46
575,46
576,40
577,49
578,46
579,34
580,46
581,46
582,46
583,40
584,46
585,40
586,46
587,46
588,46
589,30
590,30
591,34
592,30
593,46
594,4
595,46
596,46
597,40
598,23
599,46
600,46
601,3
602,23
603,16
604,40
605,46
606,46
607,40
608,22
609,6
610,30
611,40
612,40
613,30
614,9
615,34
616,23
617,6
618,40
619,6
620,30
621,46
622,23
623,3
624,33
625,20
626,40
627,46
628,46
629,40
630,40
631,23
632,46
633,33
634,33
635,9
636,23
637,46
638,22
639,46
640,23
641,23
642,40
643,23
644,46
645,23
646,33
647,30
648,30
649,3
650,46
651,46
652,23
653,40
654,40
655,46
656,41
657,40
658,49
659,40
660,46
661,46
662,46
663,34
664,30
665,3
666,30
667,46
668,46
669,30
670,46
671,33
672,23
673,30
674,46
675,30
676,6
677,40
678,46
679,6
680,33
681,33
682,23
683,30
684,46
685,22
686,23
687,40
688,46
689,46
690,40
691,30
692,30
693,40
694,46
695,9
696,23
697,46
698,40
699,46
700,33
701,6
702,33
703,40
704,46
705,36
706,40
707,30
708,30
709,41
710,22
711,46
712,46
713,33
714,46
715,33
716,46
717,23
718,30
719,40
720,22
721,23
722,46
723,30
724,40
725,40
726,40
727,46
728,46
729,9
730,40
731,3
732,33
733,46
734,46
735,33
736,46
737,46
738,6
739,46
740,23
741,23
742,20
743,40
744,6
745,46
746,46
747,23
748,46
749,46
750,40
751,40
752,40
753,22
754,46
755,46
756,22
757,40
758,34
759,30
760,40
761,46
762,46
763,34
764,40
765,46
766,3
767,6
768,46
769,46
770,6
771,46
772,46
773,30
774,46
775,46
776,30
777,23
778,30
779,23
780,40
781,33
782,23
783,23
784,33
785,33
786,46
787,46
788,40
789,40
790,40
791,46
792,23
793,33
794,30
795,46
796,22
797,30
798,46
799,30
800,23
801,33
802,46
803,40
804,6
805,46
806,40
807,23
808,33
809,23
810,23
811,46
812,40
813,22
814,6
815,22
816,30
817,46
818,46
819,40
820,33
821,30
822,33
823,46
824,9
825,23
826,46
827,6
828,30
829,23
830,6
831,19
832,40
833,22
834,40
835,6
836,23
837,46
838,29
839,46
840,23
841,19
842,23
843,33
844,3
845,46
846,34
847,30
848,30
849,40
850,40
851,49
852,30
853,6
854,33
855,39
856,30
857,46
858,40
859,30
860,30
861,46
862,40
863,42
864,22
865,33
866,40
867,46
868,40
869,40
870,40
871,33
872,33
873,35
874,33
875,22
876,40
877,46
878,22
879,40
880,40
881,22
882,23
883,30
884,30
885,23
886,40
887,6
888,22
889,40
890,23
891,46
892,46
893,28
894,40
895,7
896,30
897,46
898,23
899,40
900,33
901,46
902,46
903,9
904,30
905,46
906,30
907,30
908,33
909,30
910,22
911,23
912,22
913,23
914,23
915,46
916,46
917,46
918,46
919,46
920,23
921,6
922,23
923,6
924,33
925,46
926,40
927,40
928,33
929,40
930,46
931,46
932,40
933,40
934,30
935,46
936,35
937,23
938,33
939,46
940,46
941,40
942,30
943,46
944,33
945,40
946,30
947,23
948,23
949,22
950,46
951,33
952,40
953,33
954,22
955,46
956,33
957,46
958,40
959,33
960,46
961,46
962,30
963,33
964,40
965,40
966,46
967,46
968,30
969,33
970,30
971,46
972,40
973,30
974,46
975,46
976,30
977,40
978,36
979,34
980,23
981,46
982,46
983,23
984,40
985,46
986,46
987,33
988,22
989,23
990,46
991,46
992,46
993,30
994,46
995,33
996,33
997,30
998,46
999,40
1000,33
1001,46
1002,46
1003,23
1004,46
1005,30
1006,3
1007,46
1008,30
1009,13
1010,30
1011,15
1012,12
1013,40
1014,46
1015,33
1016,6
1017,33
1018,40
1019,33
1020,23
1021,46
1022,40
1023,6
1024,46
1025,40
1026,40
1027,30
1028,46
1029,40
1030,22
1031,30
1032,46
1033,30
1034,40
1035,23
1036,40
1037,46
1038,40
1039,30
1040,40
1041,46
1042,46
1043,30
1044,46
1045,23
1046,46
1047,23
1048,46
1049,46
1050,23
1051,46
1052,46
1053,30
1054,30
1055,33
1056,40
1057,46
1058,40
1059,30
1060,46
1061,40
1062,22
1063,40
1064,30
1065,46
1066,13
1067,19
1068,33
1069,46
1070,40
1071,34
1072,46
1073,30
1074,46
1075,40
1076,40
1077,40
1078,46
1079,46
1080,41
1081,35
1082,35
1083,46
1084,15
1085,46
1086,46
1087,23
1088,46
1089,33
1090,40
1091,33
1092,30
1093,46
1094,46
1095,22
1096,30
1097,46
1098,33
1099,40
1100,46
1101,46
1102,23
1103,46
1104,3
1105,46
1106,46
1107,33
1108,46
1109,15
1110,23
1111,6
1112,6
1113,23
1114,23
1115,46
1116,40
1117,46
1118,30
1119,46
1120,40
1121,22
1122,23
1123,23
1124,46
1125,6
1126,40
1127,40
1128,23
1129,46
1130,40
1131,30
1132,30
1133,33
1134,23
1135,46
1136,46
1137,46
1138,46
1139,40
1140,33
1141,46
1142,46
1143,6
1144,40
1145,46
1146,33
1147,40
1148,46
1149,6
1150,46
1151,46
1152,23
1153,46
1154,40
1155,46
1156,6
1157,22
1158,6
1159,40
1160,46
1161,33
1162,40
1163,30
1164,33
1165,40
1166,40
1167,46
1168,23
1169,33
1170,23
1171,23
1172,22
1173,23
1174,23
1175,23
1176,46
1177,40
1178,40
1179,30
1180,40
1181,30
1182,30
1183,46
1184,46
1185,6
1186,40
1187,46
1188,40
1189,46
1190,30
1191,40
1192,33
1193,40
1194,33
1195,23
1196,22
1197,30
1198,23
1199,33
1200,46
1201,30
1202,46
1203,30
1204,3
1205,30
1206,33
1207,3
1208,30
1209,33
1210,46
1211,33
1212,33
1213,46
1214,23
1215,46
1216,30
1217,30
1218,46
1219,46
1220,46
1221,30
1222,46
1223,46
1224,46
1225,6
1226,40
1227,33
1228,46
1229,30
1230,40
1231,46
1232,46
1233,3
1234,6
1235,46
1236,46
1237,40
1238,40
1239,33
1240,40
1241,23
1242,33
1243,46
1244,30
1245,46
1246,33
1247,30
1248,46
1249,30
1250,35
1251,40
1252,40
1253,40
1254,46
1255,46
1256,35
1257,30
1258,6
1259,23
1260,40
1261,33
1262,30
1263,40
1264,23
1265,40
1266,46
1267,30
1268,40
1269,49
1270,40
1271,23
1272,30
1273,30
1274,6
1275,46
1276,46
1277,23
1278,46
1279,46
1280,46
1281,22
1282,3
1283,46
1284,16
1285,40
1286,46
1287,23
1288,30
1289,46
1290,40
1291,22
1292,30
1293,46
1294,40
1295,46
1296,23
1297,46
1298,46
1299,46
1300,40
1301,33
1302,35
1303,30
1304,36
1305,6
1306,23
1307,23
1308,23
1309,40
1310,30
1311,3
1312,46
1313,46
1314,9
1315,30
1316,23
1317,23
1318,46
1319,23
1320,30
1321,6
1322,40
1323,29
1324,40
1325,36
1326,36
1327,37
1328,46
1329,46
1330,15
1331,41
1332,12
1333,33
1334,6
1335,46
1336,46
1337,33
1338,33
1339,6
1340,4
1341,46
1342,40
1343,46
1344,33
1345,6
1346,30
1347,40
1348,22
1349,46
1350,33
1351,46
1352,38
1353,46
1354,33
1355,46
1356,23
1357,33
1358,46
1359,40
1360,30
1361,46
1362,23
1363,40
1364,46
1365,46
1366,46
1367,40
1368,23
1369,33
1370,46
1371,9
1372,46
1373,33
1374,33
1375,46
1376,46
1377,40
1378,46
1379,40
1380,35
1381,23
1382,40
1383,46
1384,33
1385,46
1386,46
1387,46
1388,30
1389,22
1390,46
1391,23
1392,30
1393,46
1394,23
1395,46
1396,22
1397,30
1398,46
1399,35
1400,23
1401,23
1402,40
1403,30
1404,33
1405,46
1406,23
1407,6
1408,40
1409,33
1410,23
1411,40
1412,33
1413,23
1414,11
1415,6
1416,46
1417,46
1418,46
1419,23
1420,46
1421,46
1422,3
1423,22
1424,46
1425,23
1426,30
1427,23
1428,40
1429,6
1430,46
1431,30
1432,29
1433,46
1434,6
1435,33
1436,23
1437,40
1438,30
1439,46
1440,6
1441,40
1442,46
1443,23
1444,23
1445,40
1446,46
1447,23
1448,46
1449,46
1450,46
1451,6
1452,40
1453,46
1454,33
1455,3
1456,23
1457,22
1458,46
1459,46
1460,6
1461,40
1462,30
1463,46
1464,30
1465,23
1466,33
1467,46
1468,46
1469,46
1470,23
1471,46
1472,10
1473,40
1474,33
1475,11
1476,23
1477,23
1478,46
1479,46
1480,40
1481,22
1482,33
1483,46
1484,33
1485,40
1486,46
1487,46
1488,46
1489,41
1490,40
1491,33
1492,6
1493,40
1494,40
1495,40
1496,46
1497,23
1498,46
1499,3
1500,33
1501,40
1502,6
1503,23
1504,46
1505,23
1506,23
1507,46
1508,46
1509,46
1510,30
1511,22
1512,23
1513,46
1514,30
1515,40
1516,23
1517,46
1518,33
1519,46
1520,46
1521,30
1522,23
1523,46
1524,23
1525,46
1526,3
1527,30
1528,40
1529,46
1530,40
1531,46
1532,40
1533,23
1534,40
1535,46
1536,22
1537,40
1538,46
1539,40
1540,30
1541,23
1542,46
1543,40
1544,6
1545,23
1546,4
1547,35
1548,40
1549,22
1550,23
1551,40
1552,46
1553,34
1554,30
1555,33
1556,40
1557,33
1558,46
1559,40
1560,6
1561,30
1562,46
1563,40
1564,23
1565,22
1566,40
1567,49
1568,46
1569,23
1570,40
1571,40
1572,33
1573,40
1574,33
1575,23
1576,46
1577,30
1578,46
1579,46
1580,33
1581,23
1582,30
1583,23
1584,40
1585,46
1586,6
1587,30
1588,40
1589,33
1590,23
1591,40
1592,40
1593,23
1594,33
1595,46
1596,46
1597,6
1598,46
1599,46
1600,46
1601,33
1602,46
1603,33
1604,33
1605,30
1606,40
1607,23
1608,6
1609,6
1610,46
1611,46
1612,40
1613,46
1614,46
1615,23
1616,30
1617,30
1618,46
1619,30
1620,33
1621,34
1622,46
1623,23
1624,6
1625,30
1626,33
1627,23
1628,12
1629,46
1630,23
1631,12
1632,40
1633,46
1634,23
1635,46
1636,23
1637,30
1638,46
1639,30
1640,49
1641,46
1642,46
1643,33
1644,46
1645,23
1646,6
1647,46
1648,40
1649,23
1650,46
1651,23
1652,33
1653,22
1654,33
1655,46
1656,40
1657,33
1658,46
1659,40
1660,30
1661,46
1662,46
1663,40
1664,6
1665,23
1666,46
1667,34
1668,46
1669,40
1670,40
1671,22
1672,46
1673,46
1674,22
1675,33
1676,23
1677,28
1678,46
1679,30
1680,33
1681,40
1682,23
1683,4
1684,23
1685,46
1686,46
1687,23
1688,23
1689,33
1690,46
1691,23
1692,40
1693,46
1694,3
1695,46
1696,35
1697,46
1698,46
1699,33
1700,46
1701,23
1702,46
1703,30
1704,30
1705,46
1706,46
1707,23
1708,40
1709,30
1710,46
1711,30
1712,33
1713,46
1714,23
1715,22
1716,23
1717,3
1718,22
1719,33
1720,40
1721,40
1722,46
1723,6
1724,30
1725,40
1726,30
1727,33
1728,34
1729,46
1730,40
1731,33
1732,30
1733,23
1734,46
1735,30
1736,30
1737,46
1738,46
1739,23
1740,46
1741,6
1742,6
1743,46
1744,33
1745,46
1746,6
1747,34
1748,46
1749,29
1750,46
1751,23
1752,40
1753,30
1754,46
1755,30
1756,23
1757,40
1758,46
1759,23
1760,33
1761,9
1762,23
1763,46
1764,46
1765,46
1766,23
1767,6
1768,46
1769,40
1770,46
1771,30
1772,46
1773,46
1774,30
1775,23
1776,33
1777,40
1778,19
1779,46
1780,41
1781,40
1782,33
1783,30
1784,40
1785,22
1786,40
1787,30
1788,46
1789,46
1790,40
1791,46
1792,46
1793,40
1794,46
1795,40
1796,33
1797,46
1798,46
1799,6
1800,33
1801,33
1802,23
1803,46
1804,46
1805,23
1806,23
1807,33
1808,46
1809,11
1810,30
1811,30
1812,46
1813,46
1814,22
1815,30
1816,40
1817,6
1818,40
1819,23
1820,36
1821,27
1822,30
1823,23
1824,40
1825,46
1826,23
1827,46
1828,46
1829,23
1830,23
1831,40
1832,33
1833,40
1834,40
1835,40
1836,23
1837,46
1838,46
1839,46
1840,46
1841,46
1842,40
1843,33
1844,23
1845,40
1846,46
1847,33
1848,30
1849,16
1850,46
1851,39
1852,6
1853,46
1854,46
1855,23
1856,46
1857,40
1858,30
1859,33
1860,20
1861,30
1862,33
1863,40
1864,30
1865,46
1866,46
1867,23
1868,33
1869,46
1870,46
1871,22
1872,46
1873,40
1874,40
1875,46
1876,33
1877,46
1878,22
1879,6
1880,23
1881,30
1882,40
1883,30
1884,40
1885,46
1886,33
1887,40
1888,46
1889,40
1890,46
1891,46
1892,6
1893,23
1894,46
1895,6
1896,30
1897,30
1898,6
1899,40
1900,33
1901,33
1902,23
1903,46
1904,40
1905,46
1906,23
1907,40
1908,46
1909,46
1910,40
1911,46
1912,23
1913,30
1914,23
1915,13
1916,6
1917,46
1918,46
1919,40
1920,33
1921,33
1922,46
1923,41
1924,40
1925,33
1926,46
1927,40
1928,30
1929,40
1930,33
1931,33
1932,40
1933,46
1934,46
1935,49
1936,30
1937,6
1938,46
1939,46
1940,46
1941,46
1942,46
1943,6
1944,23
1945,23
1946,23
1947,40
1948,46
1949,40
1950,33
1951,46
1952,22
1953,6
1954,40
1955,23
1956,23
1957,46
1958,33
1959,46
1960,40
1961,40
1962,22
1963,46
1964,46
1965,9
1966,9
1967,6
1968,30
1969,46
1970,41
1971,23
1972,30
1973,46
1974,46
1975,22
1976,40
1977,23
1978,46
1979,23
1980,40
1981,30
1982,46
1983,30
1984,30
1985,46
1986,46
1987,46
1988,40
1989,30
1990,41
1991,23
1992,33
1993,22
1994,46
1995,33
1996,6
1997,3
1998,46
1999,33
2000,23
2001,6
2002,6
2003,30
2004,40
2005,46
2006,9
2007,46
2008,46
2009,46
2010,30
2011,46
2012,46
2013,33
2014,30
2015,12
2016,23
2017,30
2018,22
2019,46
2020,40
2021,22
2022,22
2023,23
2024,23
2025,46
2026,46
2027,40
2028,40
2029,46
2030,6
2031,35
2032,40
2033,33
2034,46
2035,40
2036,40
2037,40
2038,46
2039,6
2040,23
2041,46
2042,40
2043,46
2044,9
2045,40
2046,40
2047,33
2048,46
2049,46
2050,23
2051,40
2052,22
2053,46
2054,33
2055,46
2056,46
2057,3
2058,23
2059,46
2060,40
2061,23
2062,46
2063,22
2064,22
2065,30
2066,46
2067,3
2068,30
2069,40
2070,33
2071,40
2072,23
2073,46
2074,29
2075,46
2076,46
2077,33
2078,46
2079,40
2080,23
2081,33
2082,46
2083,33
2084,33
2085,30
2086,46
2087,30
2088,46
2089,37
2090,46
2091,4
2092,30
2093,46
2094,46
2095,30
2096,30
2097,3
2098,46
2099,34
2100,23
2101,46
2102,13
2103,40
2104,46
2105,40
2106,30
2107,40
2108,3
2109,46
2110,6
2111,46
2112,23
2113,40
2114,46
2115,46
2116,23
2117,12
2118,46
2119,8
2120,40
2121,46
2122,40
2123,46
2124,33
2125,6
2126,6
2127,40
2128,30
2129,30
2130,40
2131,46
2132,33
2133,46
2134,46
2135,6
2136,46
2137,46
2138,23
2139,46
2140,23
2141,23
2142,6
2143,23
2144,33
2145,46
2146,46
2147,33
2148,30
2149,23
2150,23
2151,46
2152,6
2153,23
2154,23
2155,40
2156,33
2157,23
2158,16
2159,46
2160,46
2161,46
2162,30
2163,6
2164,33
2165,40
2166,46
2167,40
2168,6
2169,46
2170,40
2171,30
2172,33
2173,6
2174,4
2175,23
2176,46
2177,40
2178,22
2179,46
2180,23
2181,46
2182,46
2183,3
2184,23
2185,23
2186,46
2187,46
2188,3
2189,6
2190,22
2191,30
2192,30
2193,40
2194,30
2195,30
2196,23
2197,46
2198,40
2199,30
2200,30
2201,40
2202,23
2203,23
2204,6
2205,46
2206,33
2207,30
2208,23
2209,23
2210,34
2211,4
2212,22
2213,6
2214,4
2215,46
2216,46
2217,33
2218,40
2219,6
2220,23
2221,23
2222,35
2223,33
2224,46
2225,36
2226,46
2227,46
2228,6
2229,46
2230,40
2231,40
2232,46
2233,6
2234,30
2235,33
2236,40
2237,46
2238,23
2239,40
2240,40
2241,40
2242,23
2243,22
2244,33
2245,40
2246,46
2247,30
2248,46
2249,30
2250,46
2251,46
2252,40
2253,33
2254,46
2255,40
2256,30
2257,40
2258,46
2259,46
2260,46
2261,30
2262,22
2263,46
2264,22
2265,30
2266,40
2267,33
2268,46
2269,30
2270,46
2271,30
2272,46
2273,6
2274,46
2275,46
2276,6
2277,30
2278,23
2279,40
2280,46
2281,23
2282,23
2283,12
2284,40
2285,40
2286,46
2287,46
2288,46
2289,36
2290,46
2291,46
2292,40
2293,23
2294,30
2295,41
2296,33
2297,40
2298,46
2299,46
2300,40
2301,46
2302,30
2303,46
2304,40
2305,46
2306,40
2307,24
2308,40
2309,46
2310,28
2311,46
2312,33
2313,46
2314,23
2315,6
2316,46
2317,46
2318,46
2319,30
2320,40
