,0
0,21
1,44
2,24
3,38
4,5
5,28
6,18
7,15
8,31
9,32
10,25
11,20
12,18
13,18
14,36
15,42
16,31
17,7
18,37
19,1
20,25
21,14
22,38
23,26
24,48
25,0
26,5
27,35
28,38
29,7
30,37
31,26
32,32
33,12
34,39
35,31
36,18
37,4
38,4
39,4
40,20
41,12
42,18
43,5
44,19
45,27
46,9
47,20
48,32
49,18
50,26
51,36
52,24
53,14
54,26
55,36
56,7
57,12
58,36
59,37
60,31
61,0
62,20
63,37
64,36
65,24
66,12
67,28
68,35
69,42
70,41
71,37
72,48
73,5
74,38
75,32
76,42
77,20
78,44
79,26
80,18
81,13
82,21
83,5
84,7
85,13
86,39
87,25
88,24
89,37
90,27
91,31
92,14
93,1
94,2
95,18
96,45
97,36
98,16
99,27
100,35
101,48
102,42
103,31
104,31
105,19
106,16
107,1
108,38
109,38
110,36
111,18
112,1
113,19
114,9
115,45
116,39
117,0
118,44
119,45
120,16
121,35
122,26
123,48
124,7
125,24
126,48
127,7
128,12
129,7
130,7
131,26
132,4
133,42
134,13
135,32
136,37
137,4
138,14
139,39
140,44
141,4
142,18
143,7
144,26
145,12
146,42
147,38
148,18
149,12
150,12
151,28
152,26
153,37
154,36
155,14
156,43
157,36
158,15
159,13
160,18
161,44
162,12
163,45
164,32
165,20
166,45
167,14
168,44
169,15
170,5
171,26
172,42
173,39
174,26
175,24
176,20
177,7
178,48
179,38
180,7
181,24
182,41
183,42
184,1
185,44
186,19
187,18
188,38
189,1
190,45
191,21
192,41
193,32
194,14
195,15
196,47
197,35
198,10
199,3
200,12
201,25
202,42
203,18
204,45
205,34
206,20
207,19
208,48
209,42
210,31
211,37
212,18
213,26
214,44
215,38
216,4
217,25
218,28
219,38
220,28
221,19
222,18
223,45
224,13
225,42
226,42
227,35
228,28
229,26
230,9
231,15
232,20
233,47
234,24
235,45
236,45
237,12
238,18
239,21
240,37
241,42
242,38
243,31
244,42
245,36
246,1
247,42
248,10
249,37
250,39
251,37
252,26
253,1
254,37
255,28
256,37
257,26
258,26
259,12
260,48
261,44
262,31
263,5
264,7
265,26
266,12
267,27
268,37
269,44
270,12
271,18
272,28
273,20
274,42
275,20
276,42
277,31
278,44
279,39
280,12
281,28
282,4
283,45
284,36
285,44
286,44
287,42
288,5
289,38
290,5
291,39
292,25
293,35
294,42
295,18
296,39
297,5
298,45
299,26
300,36
301,41
302,47
303,45
304,45
305,41
306,3
307,44
308,1
309,31
310,24
311,41
312,24
313,12
314,5
315,7
316,0
317,31
318,3
319,27
320,26
321,44
322,9
323,12
324,20
325,25
326,20
327,19
328,10
329,15
330,37
331,5
332,18
333,37
334,4
335,24
336,4
337,12
338,25
339,0
340,14
341,10
342,18
343,31
344,21
345,7
346,37
347,39
348,13
349,41
350,12
351,19
352,9
353,48
354,37
355,48
356,35
357,12
358,12
359,28
360,24
361,41
362,19
363,28
364,34
365,45
366,0
367,7
368,37
369,28
370,13
371,48
372,19
373,36
374,0
375,32
376,19
377,27
378,27
379,9
380,31
381,27
382,13
383,4
384,45
385,37
386,1
387,14
388,32
389,38
390,20
391,26
392,16
393,14
394,47
395,38
396,5
397,25
398,12
399,32
400,5
401,38
402,9
403,5
404,31
405,24
406,1
407,26
408,19
409,42
410,44
411,37
412,42
413,37
414,7
415,7
416,38
417,25
418,39
419,28
420,38
421,32
422,32
423,38
424,16
425,34
426,24
427,26
428,26
429,37
430,19
431,48
432,26
433,5
434,39
435,13
436,0
437,45
438,24
439,25
440,28
441,12
442,38
443,24
444,25
445,13
446,47
447,19
448,39
449,48
450,26
451,37
452,9
453,36
454,7
455,26
456,14
457,36
458,12
459,27
460,26
461,42
462,42
463,36
464,38
465,7
466,37
467,37
468,16
469,39
470,20
471,36
472,39
473,44
474,45
475,15
476,7
477,28
478,14
479,19
480,14
481,27
482,0
483,10
484,7
485,5
486,18
487,27
488,26
489,38
490,16
491,5
492,26
493,21
494,31
495,7
496,24
497,1
498,7
499,44
500,31
501,19
502,32
503,45
504,26
505,44
506,42
507,14
508,5
509,7
510,36
511,12
512,20
513,5
514,5
515,0
516,48
517,41
518,26
519,44
520,42
521,42
522,2
523,5
524,1
525,7
526,32
527,14
528,26
529,12
530,36
531,48
532,18
533,20
534,38
535,18
536,42
537,13
538,9
539,21
540,42
541,9
542,26
543,13
544,31
545,19
546,37
547,37
548,12
549,19
550,42
551,38
552,21
553,19
554,12
555,38
556,26
557,5
558,25
559,5
560,12
561,45
562,12
563,45
564,37
565,19
566,10
567,4
568,45
569,39
570,25
571,7
572,41
573,25
574,47
575,32
576,41
577,7
578,45
579,18
580,24
581,28
582,12
583,15
584,28
585,15
586,25
587,39
588,0
589,37
590,0
591,18
592,44
593,5
594,4
595,10
596,39
597,0
598,38
599,19
600,25
601,24
602,14
603,48
604,45
605,9
606,32
607,36
608,19
609,19
610,28
611,36
612,36
613,1
614,36
615,18
616,39
617,7
618,13
619,9
620,1
621,42
622,7
623,37
624,18
625,5
626,14
627,32
628,21
629,36
630,41
631,42
632,39
633,20
634,42
635,36
636,38
637,31
638,42
639,24
640,38
641,28
642,36
643,20
644,32
645,7
646,18
647,44
648,35
649,39
650,31
651,25
652,38
653,27
654,15
655,7
656,42
657,18
658,47
659,13
660,5
661,19
662,24
663,18
664,37
665,37
666,9
667,45
668,45
669,44
670,47
671,42
672,45
673,7
674,32
675,19
676,24
677,48
678,31
679,19
680,37
681,42
682,37
683,44
684,25
685,9
686,37
687,36
688,32
689,24
690,41
691,26
692,44
693,15
694,5
695,36
696,14
697,34
698,36
699,38
700,18
701,7
702,42
703,41
704,28
705,9
706,13
707,37
708,11
709,42
710,16
711,28
712,19
713,38
714,19
715,37
