,0
0,30
1,22
2,30
3,23
4,23
5,23
6,6
7,30
8,6
9,6
10,40
11,30
12,40
13,40
14,9
15,40
16,6
17,30
18,30
19,30
20,30
21,40
22,6
23,40
24,40
25,30
26,40
27,30
28,30
29,30
30,30
31,40
32,40
33,30
34,40
35,6
36,30
37,30
38,30
39,40
40,40
41,40
42,40
43,40
44,40
45,40
46,40
47,40
48,40
49,40
50,40
51,40
52,40
53,40
54,46
55,6
56,23
57,40
58,30
59,40
60,40
61,40
62,40
63,30
64,30
65,23
66,40
67,23
68,40
69,6
70,23
71,23
72,40
73,6
74,40
75,23
76,30
77,30
78,40
79,40
80,40
81,40
82,30
83,40
84,6
85,6
86,40
87,6
88,6
89,46
90,30
91,30
92,40
93,6
94,40
95,23
96,23
97,6
98,40
99,30
100,23
101,23
102,40
103,40
104,23
105,40
106,40
107,40
108,23
109,23
110,40
111,30
112,40
113,40
114,40
115,40
116,40
117,6
118,40
119,6
120,30
121,40
122,30
123,40
124,40
125,40
126,6
127,40
128,30
129,40
130,40
131,40
132,46
133,46
134,6
135,46
136,40
137,40
138,23
139,30
140,40
141,40
142,30
143,40
144,6
145,40
146,40
147,40
148,40
149,30
150,30
151,6
152,40
153,6
154,40
155,40
156,40
157,23
158,23
159,40
160,40
161,6
162,40
163,40
164,40
165,40
166,30
167,40
168,6
169,30
170,40
171,30
172,40
173,6
174,40
175,40
176,23
177,33
178,41
179,23
180,46
181,33
182,40
183,22
184,46
185,46
186,33
187,29
188,22
189,46
190,33
191,41
192,30
193,46
194,46
195,46
196,46
197,46
198,46
199,23
200,46
201,33
202,33
203,23
204,46
205,33
206,46
207,46
208,46
209,46
210,46
211,22
212,46
213,46
214,46
215,46
216,46
217,33
218,46
219,46
220,6
221,46
222,33
223,46
224,46
225,23
226,22
227,30
228,40
229,41
230,46
231,46
232,46
233,46
234,33
235,46
236,46
237,46
238,46
239,46
240,29
241,46
242,33
243,33
244,46
245,46
246,23
247,46
248,46
249,33
250,23
251,46
252,46
253,23
254,40
255,23
256,33
257,46
258,23
259,23
260,46
261,46
262,13
263,46
264,33
265,23
266,46
267,33
268,41
269,46
270,33
271,46
272,46
273,23
274,33
275,23
276,46
277,33
278,33
279,41
280,46
281,46
282,46
283,46
284,46
285,46
286,23
287,46
288,33
289,46
290,13
291,33
292,33
293,46
294,41
295,46
296,46
297,23
298,33
299,33
300,46
301,46
302,46
303,11
304,33
305,33
306,46
307,41
308,41
309,46
310,41
311,33
312,46
313,46
314,33
315,46
316,22
317,46
318,46
319,23
320,41
321,33
322,46
323,30
324,9
325,46
326,46
327,40
328,46
329,11
330,46
331,46
332,46
333,46
334,41
335,41
336,46
337,33
338,46
339,33
340,46
341,46
342,46
343,46
344,33
345,30
346,23
347,23
348,46
349,40
350,46
351,33
352,40
353,33
354,46
355,46
356,23
357,41
358,46
359,33
360,33
361,46
362,46
363,46
364,46
365,46
366,46
367,22
368,33
369,33
370,46
371,46
372,46
373,13
374,30
375,33
376,46
377,46
378,46
379,46
380,40
381,46
382,41
383,33
384,46
385,6
386,41
387,33
388,6
389,22
390,33
391,33
392,13
393,33
394,46
395,23
396,46
397,41
398,11
399,46
400,46
401,46
402,46
403,46
404,46
405,23
406,22
407,33
408,46
409,22
410,33
411,46
412,30
413,22
414,46
415,46
416,46
417,46
418,46
419,6
420,23
421,33
422,46
423,46
424,46
425,46
426,46
427,22
428,46
429,46
430,46
431,46
432,33
433,23
434,23
435,23
436,41
437,23
438,46
439,46
440,46
441,40
442,40
443,13
444,46
445,46
446,33
447,46
448,33
449,23
450,23
451,46
452,46
453,46
454,33
455,46
456,46
457,46
458,33
459,46
460,30
461,6
462,33
463,33
464,41
465,46
466,46
467,33
468,46
469,30
