,0
0,49
1,49
2,49
3,49
4,49
5,194
6,49
7,49
8,49
9,49
10,99
11,99
12,136
13,103
14,194
15,49
16,49
17,49
18,11
19,49
20,49
21,140
22,136
23,49
24,49
25,11
26,166
27,11
28,194
29,49
30,136
31,136
32,49
33,173
34,179
35,179
36,49
37,136
38,49
39,99
40,49
41,191
42,49
43,49
44,136
45,188
46,49
47,49
48,49
49,49
50,49
51,194
52,49
53,99
54,103
55,49
56,173
57,136
58,49
59,49
60,28
61,128
62,49
63,136
64,49
65,136
66,49
67,136
68,128
69,11
70,49
71,136
72,49
73,49
74,191
75,6
76,136
77,173
78,136
79,49
80,49
81,49
82,136
83,136
84,49
85,49
86,49
87,140
88,6
89,49
90,136
91,49
92,191
93,136
94,136
95,49
96,136
97,170
98,166
99,49
100,166
101,49
102,141
103,6
104,49
105,11
106,191
107,194
108,170
109,49
110,191
111,49
112,49
113,49
114,49
115,99
116,49
117,49
118,99
119,11
120,128
121,49
122,49
123,49
124,49
125,49
126,49
127,151
128,4
129,49
130,99
131,49
132,49
133,179
134,136
135,49
136,49
137,49
138,49
139,49
140,49
141,141
142,136
143,49
144,191
145,99
146,191
147,49
148,191
149,128
150,49
151,49
152,191
153,11
154,141
155,49
156,49
157,136
158,49
159,122
160,191
161,49
162,86
163,136
164,136
165,49
166,179
167,49
168,49
169,99
170,136
171,49
172,35
173,49
174,49
175,49
176,179
177,99
178,49
179,87
180,136
181,136
182,99
183,49
184,49
185,49
186,62
187,90
188,99
189,49
190,11
191,100
192,96
193,128
194,49
195,191
196,90
197,49
198,191
199,49
200,49
201,179
202,191
203,49
204,49
205,191
206,49
207,139
208,49
209,99
210,99
211,49
212,179
213,49
214,191
215,49
216,49
217,49
218,179
219,87
220,49
221,11
222,49
223,141
224,49
225,136
226,191
227,194
228,136
229,49
230,128
231,49
232,173
233,194
234,49
235,136
236,49
237,49
238,136
239,49
240,6
241,128
242,136
243,15
244,136
245,87
246,99
247,49
248,49
249,49
250,136
251,11
252,49
253,128
254,49
255,173
256,49
257,49
258,99
259,156
260,49
261,97
262,49
263,11
264,49
265,173
266,61
267,136
268,49
269,99
270,49
271,49
272,49
273,49
274,11
275,49
276,49
277,49
278,49
279,49
280,128
281,99
282,173
283,151
284,49
285,49
286,122
287,136
288,172
289,166
290,6
291,141
292,53
293,128
294,191
295,136
296,49
297,141
298,49
299,49
300,97
301,136
302,49
303,49
304,49
305,49
306,136
307,136
308,11
309,179
310,11
311,191
312,49
313,49
314,99
315,49
316,141
317,11
318,49
319,49
320,191
321,128
322,49
323,191
324,49
325,49
326,128
327,141
328,49
329,49
330,136
331,49
332,9
333,136
334,136
335,179
336,191
337,61
338,90
339,49
340,49
341,11
342,49
343,11
344,136
345,99
346,99
347,49
348,191
349,191
350,136
351,136
352,173
