,0
0,106
1,34
2,84
3,11
4,41
5,48
6,77
7,108
8,40
9,195
10,147
11,91
12,102
13,51
14,153
15,197
16,120
17,152
18,155
19,91
20,73
21,51
22,101
23,101
24,29
25,31
26,162
27,183
28,65
29,66
30,0
31,75
32,60
33,118
34,114
35,36
36,15
37,116
38,127
39,60
40,95
41,160
42,15
43,62
44,24
45,8
46,135
47,59
48,56
49,147
50,125
51,40
52,14
53,111
54,4
55,70
56,148
57,43
58,148
59,9
60,9
61,69
62,25
63,32
64,66
65,174
66,5
67,0
68,120
69,85
70,118
71,1
72,45
73,162
74,70
75,24
76,101
77,96
78,58
79,161
80,65
81,32
82,189
83,1
84,11
85,84
86,117
87,58
88,122
89,120
90,32
91,38
92,187
93,189
94,25
95,57
96,2
97,53
98,51
99,57
100,174
101,197
102,57
103,177
104,66
105,57
106,162
107,19
108,24
109,5
110,16
111,84
112,171
113,3
114,66
115,109
116,193
117,152
118,183
119,153
120,15
121,15
122,160
123,199
124,172
125,37
126,3
127,54
128,4
129,127
130,46
131,8
132,179
133,171
134,43
135,84
136,120
137,195
138,77
139,1
140,183
141,116
142,174
143,183
144,150
145,145
146,64
147,142
148,31
149,1
150,34
151,112
152,2
153,96
154,148
155,197
156,22
157,54
158,70
159,122
160,27
161,70
162,54
163,1
164,41
165,38
166,112
167,37
168,75
169,146
170,154
171,34
172,14
173,164
174,7
175,27
176,179
177,65
178,84
179,54
180,0
181,152
182,15
183,113
184,112
185,125
186,9
187,95
188,144
189,147
190,3
191,161
192,96
193,174
194,150
195,187
196,66
197,14
198,3
199,52
200,148
201,197
202,25
203,144
204,172
205,167
206,132
207,161
208,179
209,7
210,145
211,46
212,9
213,53
214,126
215,137
216,95
217,172
218,145
219,69
220,135
221,66
222,199
223,36
224,70
225,150
226,154
227,46
228,57
229,129
230,102
231,77
232,161
233,108
234,84
235,117
236,0
237,1
238,171
239,133
240,8
241,73
242,152
243,15
244,2
245,25
246,62
247,41
248,176
249,7
250,59
251,11
252,96
253,195
254,117
255,111
256,179
257,76
258,137
259,16
260,137
261,4
262,46
263,111
264,199
265,114
266,1
267,64
268,43
269,13
270,118
271,114
272,189
273,13
274,96
275,195
276,3
277,153
278,148
279,48
280,13
281,60
282,161
283,118
284,52
285,34
286,193
287,73
288,172
289,96
290,13
291,72
292,53
293,41
294,63
295,101
296,162
297,196
298,155
299,54
300,176
301,189
302,131
303,155
304,143
305,66
306,59
307,1
308,48
309,26
310,37
311,85
312,15
313,196
314,145
315,120
316,60
317,52
318,155
319,46
320,116
321,102
322,32
323,32
324,168
325,133
326,136
327,139
328,116
329,9
330,189
331,139
332,2
333,32
334,174
335,51
336,57
337,38
338,52
339,148
340,176
341,54
342,26
343,160
344,117
345,144
346,5
347,7
348,1
349,196
350,126
351,56
352,196
353,38
354,3
355,133
356,172
357,150
358,1
359,196
360,129
361,4
362,145
363,91
364,168
365,34
366,75
367,46
368,113
369,171
370,108
371,83
372,150
373,32
374,57
375,53
376,162
377,172
378,51
379,14
380,15
381,13
382,73
383,139
384,65
385,12
386,46
387,24
388,43
389,59
390,58
391,65
392,167
393,152
394,117
395,53
396,142
397,171
398,39
399,155
400,117
401,54
402,152
403,80
404,197
405,38
406,152
407,160
408,0
409,38
410,72
411,26
412,152
413,127
414,58
415,135
416,155
417,76
418,148
419,64
420,101
421,142
422,76
423,145
424,108
425,179
426,12
427,13
428,135
429,142
430,101
431,113
432,126
433,48
434,73
435,3
436,59
437,5
438,48
439,65
440,199
441,63
442,95
443,65
444,36
445,60
446,118
447,25
448,110
449,189
450,117
451,58
452,183
453,96
454,51
455,77
456,50
457,155
458,179
459,54
460,11
461,113
462,1
463,179
464,31
465,12
466,32
467,63
468,95
469,65
470,62
471,73
472,120
473,4
474,116
475,48
476,183
477,176
478,48
479,31
480,101
481,76
482,69
483,14
484,15
485,160
486,160
487,177
488,11
489,31
490,25
491,15
492,108
493,137
494,167
495,3
496,171
497,96
498,62
499,19
500,32
501,122
502,25
503,161
504,53
505,37
506,102
507,110
508,36
509,11
510,136
511,43
512,164
513,171
514,14
515,118
516,154
517,145
518,172
519,148
520,152
521,132
522,66
523,142
524,142
525,154
526,10
527,117
528,193
529,48
530,148
531,63
532,131
533,144
534,161
535,85
536,10
537,46
538,41
539,70
540,72
541,133
542,171
543,54
544,164
545,65
546,197
547,126
548,104
549,179
550,126
551,0
552,48
553,193
554,108
555,58
556,197
557,16
558,73
559,7
560,117
561,150
562,183
563,101
564,48
565,144
566,62
567,24
568,85
569,91
570,44
571,1
572,197
573,147
574,31
575,1
576,169
577,41
578,0
579,122
580,73
581,171
582,196
583,108
584,36
585,137
586,3
587,183
588,167
589,167
590,16
591,2
592,41
593,75
594,145
595,73
596,1
597,4
598,179
599,37
600,150
601,43
602,117
603,52
604,101
605,96
606,8
607,77
608,1
609,62
610,1
611,193
612,15
613,40
614,126
615,179
616,62
617,117
618,168
619,167
620,69
621,101
622,62
623,14
624,44
625,137
626,37
627,64
628,199
629,3
630,109
631,167
632,167
633,114
634,31
635,19
636,199
637,60
638,70
639,91
640,85
641,53
642,150
643,143
644,85
645,41
646,129
647,122
648,69
649,189
650,127
651,161
652,197
653,136
654,114
655,84
656,44
657,147
658,143
659,69
660,72
661,155
662,60
663,60
664,14
665,13
666,50
667,109
668,36
669,142
670,3
671,70
672,162
673,4
674,41
675,174
676,108
677,193
678,1
679,14
680,113
681,197
682,11
683,14
684,9
685,104
686,9
687,7
688,36
689,172
690,116
691,26
692,38
693,58
694,1
695,8
696,148
697,25
698,135
699,80
700,174
701,37
702,47
703,152
704,60
705,174
706,25
707,12
708,174
709,126
710,172
711,189
712,37
713,116
714,179
715,161
716,142
717,60
718,36
719,116
720,51
721,95
722,12
723,70
724,96
725,8
726,72
727,34
728,160
729,139
730,153
731,53
732,4
733,56
734,70
735,54
736,41
737,17
738,118
739,34
740,189
741,54
742,4
743,144
744,52
745,101
746,45
747,183
748,73
749,45
750,63
751,164
752,70
753,11
754,46
755,36
756,101
757,62
758,70
759,109
760,133
761,113
762,5
763,155
764,160
765,148
766,84
767,148
768,137
769,66
770,69
771,171
772,76
773,153
774,8
775,37
776,145
777,135
778,11
779,189
780,150
781,25
782,167
783,117
784,155
785,10
786,37
787,48
788,160
789,179
790,77
791,46
792,0
793,3
794,108
795,148
796,148
797,54
798,161
799,52
800,183
801,160
802,62
803,148
804,4
805,109
806,0
807,161
808,0
809,110
810,95
811,187
812,8
813,41
814,116
815,155
816,13
817,153
818,37
819,64
820,38
821,64
822,37
823,152
824,171
825,120
826,189
827,63
828,125
829,102
830,162
831,5
832,135
833,12
834,30
835,187
836,114
837,164
838,197
839,14
840,2
841,69
842,70
843,44
844,95
845,15
846,135
847,135
848,179
