,0
0,49
1,166
2,166
3,136
4,49
5,49
6,49
7,49
8,166
9,49
10,151
11,11
12,49
13,99
14,11
15,166
16,6
17,136
18,49
19,49
20,49
21,49
22,49
23,49
24,49
25,11
26,136
27,49
28,11
29,49
30,49
31,136
32,166
33,49
34,49
35,49
36,6
37,6
38,191
39,6
40,6
41,191
42,49
43,6
44,194
45,11
46,6
47,6
48,6
49,49
50,99
51,191
52,9
53,99
54,194
55,49
56,6
57,49
58,6
59,6
60,49
61,49
62,87
63,194
64,49
65,6
66,6
67,49
68,6
69,6
70,136
71,136
72,49
73,156
74,191
75,49
76,136
77,99
78,136
79,6
80,49
81,49
82,191
83,156
84,49
85,156
86,49
87,49
88,49
89,179
90,191
91,191
92,191
93,191
94,191
95,87
96,49
97,191
98,128
99,49
100,49
101,49
102,49
103,128
104,136
105,49
106,49
107,49
108,49
109,49
110,49
111,49
112,49
113,49
114,49
115,49
116,136
117,49
118,136
119,49
120,49
121,49
122,99
123,49
124,49
125,128
126,49
127,49
128,49
129,136
130,136
131,99
132,22
133,128
134,49
135,49
136,49
137,49
138,49
139,49
140,49
141,49
142,49
143,49
144,79
145,35
146,49
147,11
148,49
149,99
150,49
151,194
152,49
153,49
154,49
155,49
156,49
157,49
158,49
159,49
160,11
161,49
162,11
163,179
164,49
165,49
166,6
167,49
168,49
169,49
170,179
171,49
172,49
173,49
174,99
175,49
176,128
177,49
178,49
179,49
180,87
181,49
182,49
183,49
184,49
185,49
186,49
187,49
188,136
189,49
190,49
191,49
192,136
193,136
194,49
195,136
196,136
197,136
198,28
199,136
200,136
201,49
202,136
203,128
204,136
205,136
206,136
207,136
208,136
209,49
210,136
211,11
212,49
213,28
214,49
215,128
216,136
217,136
218,49
219,191
220,49
221,49
222,49
223,49
224,49
225,136
226,49
227,191
228,49
229,49
230,136
231,191
232,49
233,49
234,136
235,49
236,49
237,87
238,166
239,49
240,49
241,179
242,87
243,191
244,166
245,49
246,49
247,166
248,128
249,179
250,49
251,6
252,6
253,28
254,79
255,136
256,49
257,49
258,191
259,49
260,49
261,136
262,136
263,49
264,49
265,49
266,35
267,194
268,99
269,6
270,194
271,49
272,173
273,49
274,6
275,6
276,49
277,49
278,99
279,35
280,35
281,49
282,6
283,194
284,6
285,6
286,49
287,35
288,35
289,49
290,6
291,6
292,6
293,49
294,49
295,35
296,11
297,99
298,35
299,35
300,141
301,35
302,49
303,6
304,73
305,35
306,6
307,6
308,35
309,194
310,6
311,49
312,49
313,6
314,49
315,73
316,35
317,49
318,35
319,6
320,6
321,35
322,49
323,11
324,49
325,49
326,128
327,49
328,191
329,49
330,49
331,49
332,79
333,128
334,49
335,49
336,179
337,173
338,49
339,49
340,49
341,11
342,49
343,179
344,79
345,49
346,99
347,49
348,79
349,49
350,49
351,49
352,87
353,49
354,49
355,49
356,49
357,49
358,11
359,49
360,49
361,49
362,179
363,79
364,49
365,49
366,179
367,11
368,49
369,136
370,49
371,49
372,49
373,191
374,79
375,49
376,27
377,49
378,49
379,87
380,79
381,87
382,49
383,136
384,49
385,191
386,136
387,136
388,49
389,136
390,136
391,136
392,136
393,136
394,136
395,136
396,191
397,136
398,191
399,191
400,128
401,6
402,191
403,136
404,191
405,191
406,136
407,136
408,49
409,136
410,136
411,136
412,128
413,136
414,49
415,49
416,128
417,191
418,136
419,49
420,136
421,136
422,138
423,99
424,99
425,99
426,141
427,49
428,6
429,49
430,49
431,49
432,99
433,99
434,99
435,49
436,49
437,166
438,99
439,6
440,49
441,49
442,49
443,99
444,49
445,49
446,49
447,49
448,49
449,49
450,99
451,49
452,49
453,43
454,49
455,99
456,6
457,49
458,99
459,49
460,99
461,191
462,49
463,49
464,49
465,99
466,49
467,49
468,49
469,49
470,99
471,49
472,49
473,49
474,49
475,99
476,136
477,49
478,173
479,136
480,173
481,49
482,49
483,136
484,194
485,136
486,49
487,9
488,49
489,49
490,136
491,136
492,49
493,49
494,49
495,49
496,73
497,194
498,136
499,191
500,136
501,136
502,9
503,49
504,49
505,11
506,136
507,49
508,136
509,191
510,49
511,128
512,173
513,136
514,136
515,179
516,49
517,61
518,61
519,49
520,61
521,49
522,49
523,61
524,61
525,191
526,61
527,61
528,49
529,61
530,136
531,49
532,61
533,61
534,49
535,61
536,49
537,61
538,73
539,136
540,49
541,49
542,136
543,10
544,61
545,49
546,73
547,90
548,61
549,61
550,61
551,49
552,49
553,49
554,49
555,90
556,49
557,136
558,73
559,179
560,49
561,49
562,49
563,136
564,87
565,73
566,61
567,61
568,73
569,49
570,49
571,11
572,87
573,99
574,99
575,79
576,49
577,191
578,128
579,191
580,49
581,49
582,49
583,87
584,99
585,49
586,136
587,49
588,49
589,49
590,99
591,28
592,11
593,49
594,79
595,49
596,49
597,99
598,191
599,191
600,191
601,49
602,136
603,49
604,49
605,141
606,49
607,49
608,136
609,49
610,11
611,128
612,49
613,11
614,49
615,49
616,11
617,49
618,49
619,191
620,173
621,49
622,49
623,49
624,11
625,191
626,11
627,136
628,67
629,49
630,87
631,191
632,11
633,99
634,136
635,49
636,99
637,49
638,49
639,49
640,99
641,61
642,11
643,191
644,128
645,6
646,11
647,136
648,49
649,136
650,49
651,128
652,49
653,49
654,49
655,49
656,49
657,49
658,97
659,136
660,99
661,49
662,6
663,49
664,49
665,49
666,49
667,128
668,128
669,11
670,9
671,97
672,49
673,97
674,49
675,49
676,49
677,49
678,49
679,49
680,49
681,191
682,11
683,49
684,49
685,35
686,9
687,49
688,6
689,166
690,49
691,49
692,49
693,99
694,141
695,6
696,49
697,178
698,49
699,99
700,9
701,191
702,49
703,99
704,178
705,49
706,11
707,97
708,191
709,6
710,49
711,140
712,49
713,49
714,49
715,6
716,136
717,49
718,11
719,166
720,136
721,49
722,11
723,136
724,136
725,6
726,11
727,99
728,11
729,99
730,128
731,191
732,136
733,99
734,49
735,99
736,11
737,49
738,49
739,136
740,99
741,49
742,49
743,99
744,11
745,49
746,191
747,53
748,136
749,136
750,191
751,191
752,136
753,136
754,136
755,191
756,128
757,136
758,136
759,49
760,49
761,191
762,136
763,49
764,128
765,49
766,191
767,49
768,49
769,136
770,136
771,191
772,136
773,136
774,99
775,132
776,136
777,99
778,191
779,136
780,136
781,136
782,191
783,49
784,49
785,136
786,49
787,191
788,191
789,28
790,191
791,191
792,49
793,49
794,99
795,99
796,49
797,49
798,99
799,49
800,49
801,49
802,49
803,49
804,49
805,11
806,49
807,49
808,49
809,49
810,49
811,90
812,99
813,49
814,179
815,136
816,49
817,49
818,99
819,49
820,49
821,49
822,173
823,49
824,136
825,186
826,49
827,99
828,49
829,79
830,49
831,49
832,79
833,49
834,87
835,49
836,99
837,49
838,49
839,49
840,49
841,49
842,49
843,99
844,99
845,99
846,49
847,49
848,49
849,49
850,49
851,99
852,49
853,87
854,90
855,49
856,136
857,79
858,49
859,11
860,49
861,11
862,49
863,49
864,11
865,87
866,49
867,49
868,49
869,173
870,99
871,49
872,49
873,99
874,49
875,99
876,49
877,136
878,49
879,79
880,191
881,49
882,49
883,49
884,99
885,49
886,99
887,49
888,99
889,49
890,49
891,99
892,49
893,49
894,99
895,49
896,99
897,99
898,49
899,49
900,99
901,49
902,49
903,49
904,49
905,136
906,49
907,49
908,49
909,49
910,99
911,49
912,191
913,49
914,49
915,11
916,99
917,49
918,49
919,49
920,49
921,49
922,191
923,99
924,49
925,99
926,136
927,49
928,99
929,99
930,99
931,141
932,70
933,141
934,49
935,49
936,11
937,49
938,140
939,49
940,49
941,141
942,99
943,6
944,11
945,99
946,191
947,11
948,49
949,49
950,49
951,11
952,179
953,97
954,87
955,186
956,49
957,128
958,186
959,79
960,173
961,49
962,179
963,49
964,141
965,33
966,49
967,11
968,11
969,49
970,49
971,128
972,61
973,179
974,97
975,11
976,191
977,192
978,49
979,136
980,136
981,79
982,49
983,194
984,6
985,6
986,99
987,87
988,49
989,49
990,49
991,49
992,49
993,11
994,79
995,11
996,11
997,97
998,49
999,173
1000,179
1001,49
1002,128
1003,191
1004,11
1005,49
1006,11
1007,87
1008,11
1009,191
1010,173
1011,191
1012,49
1013,191
1014,191
1015,99
1016,49
1017,179
1018,191
1019,11
1020,173
1021,49
1022,11
1023,11
1024,6
1025,87
1026,179
1027,11
1028,11
1029,141
1030,11
1031,11
1032,11
1033,49
1034,49
1035,11
1036,136
1037,49
1038,173
1039,136
1040,49
1041,11
1042,191
1043,87
1044,87
1045,11
1046,11
1047,108
1048,49
1049,141
1050,49
1051,28
1052,179
1053,49
1054,49
1055,49
1056,166
1057,166
1058,27
1059,49
1060,99
1061,87
1062,27
1063,49
1064,179
1065,173
1066,6
1067,9
1068,61
1069,97
1070,49
1071,99
1072,9
1073,99
1074,128
1075,97
1076,99
1077,99
1078,49
1079,99
1080,97
1081,99
1082,99
1083,141
1084,49
1085,99
1086,99
1087,49
1088,97
1089,99
1090,99
1091,99
1092,49
1093,99
1094,49
1095,99
1096,141
1097,99
1098,99
1099,141
1100,99
1101,49
1102,99
1103,99
1104,97
1105,27
1106,9
1107,49
1108,97
1109,6
1110,103
1111,99
1112,99
1113,99
1114,97
1115,136
1116,99
1117,49
1118,49
1119,49
1120,9
1121,11
1122,35
1123,49
1124,49
1125,99
1126,49
1127,128
1128,136
1129,136
1130,191
1131,136
1132,191
1133,136
1134,136
1135,191
1136,136
1137,49
1138,136
1139,136
1140,103
1141,194
1142,49
1143,136
1144,136
1145,136
1146,136
1147,191
1148,49
1149,70
1150,136
1151,136
1152,191
1153,136
1154,136
1155,136
1156,49
1157,136
1158,191
1159,49
1160,6
1161,136
1162,49
1163,136
1164,49
1165,136
1166,49
1167,136
1168,27
1169,136
1170,136
1171,136
1172,136
1173,136
1174,136
1175,136
1176,11
1177,141
1178,99
1179,49
1180,79
1181,87
1182,49
1183,49
1184,107
1185,49
1186,49
1187,179
1188,141
1189,49
1190,49
1191,49
1192,49
1193,79
1194,49
1195,49
1196,179
1197,49
1198,49
1199,11
1200,11
1201,6
1202,49
1203,6
1204,49
1205,11
1206,49
1207,87
1208,11
1209,49
1210,79
1211,11
1212,191
1213,179
1214,179
1215,49
1216,191
1217,49
1218,49
1219,6
1220,49
1221,194
1222,87
1223,141
1224,49
1225,49
1226,49
1227,49
1228,49
1229,49
1230,49
1231,49
1232,49
1233,49
1234,99
1235,179
1236,49
1237,188
1238,49
1239,49
1240,194
1241,49
1242,49
1243,115
1244,49
1245,49
1246,115
1247,49
1248,49
1249,99
1250,99
1251,49
1252,115
1253,49
1254,128
1255,6
1256,49
1257,49
1258,11
1259,49
1260,119
1261,49
1262,49
1263,11
1264,46
1265,49
1266,49
1267,11
1268,6
1269,191
1270,99
1271,49
1272,49
1273,49
1274,99
1275,166
1276,49
1277,6
1278,49
1279,49
1280,128
1281,103
1282,49
1283,49
1284,49
1285,191
1286,191
1287,49
1288,49
1289,119
1290,6
1291,49
1292,49
1293,49
1294,6
1295,49
1296,49
1297,6
1298,53
1299,49
1300,6
1301,49
1302,119
1303,49
1304,49
1305,49
1306,128
1307,49
1308,49
1309,49
1310,119
1311,53
1312,49
1313,49
1314,49
1315,49
1316,99
1317,87
1318,128
1319,140
1320,191
1321,49
1322,49
1323,191
1324,128
1325,49
1326,49
1327,49
1328,11
1329,49
1330,132
1331,191
1332,49
1333,128
1334,136
1335,119
1336,49
1337,49
1338,158
1339,49
1340,49
1341,49
1342,194
1343,49
1344,49
