,0
0,151
1,151
2,151
3,151
4,151
5,151
6,151
7,151
8,151
9,151
10,151
11,151
12,151
13,151
14,151
15,151
16,151
17,151
18,151
19,151
20,151
21,151
22,151
23,151
24,151
25,151
26,151
27,151
28,151
29,151
30,151
31,151
32,151
33,151
34,151
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,156
71,156
72,156
73,156
74,156
75,156
76,156
77,156
78,156
79,156
80,156
81,156
82,156
83,156
84,156
85,156
86,156
87,156
88,156
89,156
90,156
91,156
92,156
93,156
94,156
95,18
96,18
97,18
98,158
99,158
100,158
101,158
102,158
103,158
104,158
105,158
106,158
107,158
108,158
109,158
110,158
111,158
112,158
113,158
114,158
115,158
116,158
117,158
118,158
119,158
120,158
121,158
122,158
123,158
124,159
125,159
126,159
127,159
128,159
129,159
130,159
131,159
132,159
133,159
134,159
135,159
136,159
137,159
138,159
139,159
140,159
141,159
142,159
143,159
144,159
145,159
146,159
147,159
148,159
149,159
150,159
151,159
152,159
153,159
154,159
155,159
156,159
157,165
158,165
159,165
160,165
161,165
162,165
163,165
164,165
165,165
166,165
167,165
168,165
169,165
170,165
171,165
172,165
173,165
174,165
175,165
176,165
177,165
178,165
179,165
180,165
181,165
182,165
183,165
184,165
185,165
186,165
187,165
188,165
189,165
190,165
191,165
192,28
193,28
194,28
195,28
196,28
197,28
198,28
199,28
200,28
201,28
202,28
203,28
204,28
205,28
206,28
207,28
208,28
209,28
210,28
211,28
212,28
213,28
214,28
215,28
216,28
217,28
218,28
219,28
220,28
221,28
222,28
223,28
224,28
225,28
226,28
227,28
228,28
229,28
230,28
231,28
232,166
233,166
234,166
235,166
236,166
237,166
238,166
239,166
240,166
241,166
242,166
243,166
244,166
245,166
246,166
247,166
248,166
249,166
250,166
251,166
252,166
253,166
254,166
255,166
256,166
257,33
258,33
259,33
260,33
261,33
262,33
263,33
264,33
265,35
266,35
267,35
268,35
269,35
270,35
271,35
272,35
273,35
274,35
275,35
276,35
277,35
278,35
279,35
280,35
281,35
282,35
283,35
284,35
285,35
286,35
287,35
288,35
289,35
290,35
291,35
292,35
293,35
294,35
295,35
296,35
297,35
298,35
299,35
300,35
301,35
302,35
303,35
304,35
305,35
306,35
307,35
308,35
309,35
310,35
311,35
312,35
313,35
314,35
315,35
316,35
317,35
318,35
319,35
320,35
321,35
322,35
323,49
324,49
325,49
326,49
327,49
328,49
329,49
330,49
331,49
332,49
333,49
334,49
335,49
336,49
337,49
338,49
339,49
340,49
341,49
342,49
343,49
344,49
345,49
346,49
347,49
348,49
349,49
350,49
351,49
352,49
353,49
354,49
355,49
356,49
357,49
358,49
359,49
360,49
361,49
362,49
363,49
364,49
365,49
366,49
367,49
368,49
369,49
370,49
371,49
372,49
373,49
374,49
375,49
376,49
377,49
378,49
379,49
380,49
381,49
382,49
383,170
384,170
385,170
386,170
387,170
388,170
389,170
390,170
391,170
392,170
393,170
394,170
395,170
396,170
397,170
398,170
399,170
400,170
401,170
402,170
403,170
404,170
405,170
406,170
407,170
408,170
409,170
410,170
411,170
412,170
413,170
414,170
415,170
416,170
417,170
418,170
419,170
420,170
421,170
422,55
423,55
424,55
425,55
426,55
427,55
428,55
429,55
430,55
431,55
432,55
433,55
434,55
435,55
436,55
437,55
438,55
439,55
440,55
441,55
442,55
443,55
444,55
445,55
446,55
447,55
448,55
449,55
450,55
451,55
452,55
453,55
454,55
455,55
456,55
457,55
458,55
459,55
460,55
461,55
462,55
463,55
464,55
465,55
466,55
467,55
468,55
469,55
470,55
471,55
472,55
473,55
474,55
475,55
476,173
477,173
478,173
479,173
480,173
481,173
482,173
483,173
484,173
485,173
486,173
487,173
488,173
489,173
490,173
491,173
492,173
493,173
494,173
495,173
496,173
497,173
498,173
499,173
500,173
501,173
502,173
503,173
504,173
505,173
506,173
507,173
508,173
509,173
510,173
511,173
512,173
513,173
514,173
515,61
516,61
517,61
518,61
519,61
520,61
521,61
522,61
523,61
524,61
525,61
526,61
527,61
528,61
529,61
530,61
531,61
532,61
533,61
534,61
535,61
536,61
537,61
538,61
539,61
540,61
541,61
542,61
543,61
544,61
545,61
546,61
547,61
548,61
549,61
550,61
551,61
552,61
553,61
554,61
555,61
556,61
557,61
558,61
559,61
560,61
561,61
562,61
563,61
564,61
565,61
566,61
567,61
568,61
569,61
570,61
571,61
572,61
573,175
574,175
575,175
576,175
577,175
578,175
579,175
580,175
581,175
582,175
583,175
584,175
585,175
586,175
587,175
588,175
589,175
590,175
591,175
592,175
593,175
594,175
595,175
596,175
597,175
598,175
599,175
600,175
601,67
602,67
603,67
604,67
605,67
606,67
607,67
608,67
609,67
610,67
611,67
612,67
613,67
614,67
615,67
616,67
