,0
0,75
1,74
2,62
3,15
4,96
5,96
6,136
7,136
8,165
9,165
10,626
11,168
12,168
13,19
14,35
15,423
16,327
17,298
18,529
19,337
20,281
21,388
22,389
23,307
24,419
25,443
26,465
27,106
28,537
29,537
30,537
31,549
32,549
33,549
34,587
35,308
36,308
37,328
38,580
39,394
40,558
41,642
42,659
43,665
44,665
45,665
46,665
47,665
48,667
49,676
50,156
51,676
52,676
53,680
54,665
55,680
56,626
57,448
58,626
59,626
60,626
61,612
62,144
63,687
64,253
65,91
66,130
67,672
68,716
69,716
70,19
71,328
72,263
73,145
74,219
75,138
76,63
77,169
78,627
79,122
80,122
81,679
82,381
83,356
84,521
85,648
86,75
87,648
88,274
89,257
90,257
91,302
92,298
93,51
94,677
95,18
96,661
97,580
98,579
99,579
100,579
101,627
102,85
103,202
104,358
105,678
106,715
107,237
108,363
109,216
110,262
111,323
112,415
113,75
114,81
115,226
116,226
117,179
118,196
119,336
120,529
121,168
122,84
123,252
124,252
125,252
126,169
127,622
128,622
129,635
130,298
131,508
132,11
133,11
134,19
135,519
136,19
137,713
138,274
139,95
140,72
141,681
142,220
143,220
144,658
145,58
146,316
147,131
148,131
149,522
150,423
151,35
152,597
153,454
154,454
155,454
156,622
157,581
158,353
159,155
160,155
161,130
162,374
163,415
164,237
165,237
166,404
167,479
168,82
169,161
170,161
171,574
172,367
173,523
174,523
175,523
176,38
177,509
178,650
179,180
180,180
181,259
182,568
183,626
184,111
185,134
186,366
187,246
188,8
189,529
190,196
191,298
192,194
193,344
194,519
195,369
196,534
197,497
198,58
199,132
200,466
201,466
202,378
203,315
204,282
205,243
206,704
207,237
208,469
209,346
210,344
211,529
212,539
213,183
214,476
215,260
216,54
217,661
218,656
219,347
220,156
221,294
222,294
223,635
224,635
225,3
226,3
227,598
228,198
229,656
230,291
231,378
232,448
233,237
234,237
235,665
236,79
237,23
238,18
239,18
240,558
241,423
242,499
243,423
244,167
245,519
246,664
247,664
248,664
249,131
250,502
251,166
252,19
253,558
254,714
255,227
256,145
257,308
258,308
259,308
260,308
261,622
262,622
263,440
264,138
265,487
266,340
267,611
268,622
269,125
270,10
271,673
272,366
273,673
274,468
275,320
276,217
277,542
278,469
279,217
280,626
281,145
282,423
283,622
284,672
285,216
286,122
287,448
288,332
289,497
290,496
291,85
292,298
293,622
294,224
295,291
296,291
297,710
298,298
299,3
300,52
301,52
302,685
303,582
304,582
305,582
306,582
307,612
308,19
309,74
310,366
311,72
312,140
313,144
314,362
315,653
316,653
317,373
318,373
319,91
320,622
321,177
322,177
323,177
324,555
325,138
326,118
327,15
328,15
329,72
330,365
331,365
332,22
333,574
334,521
335,425
336,427
337,147
338,147
339,138
340,137
341,137
342,239
343,267
344,144
345,417
346,91
347,307
348,86
349,86
350,75
351,374
352,308
353,696
354,520
355,110
356,152
357,204
358,336
359,628
360,679
361,182
362,391
363,681
364,381
365,381
366,216
367,361
368,39
369,440
370,534
371,354
372,158
373,298
374,517
375,517
376,382
377,382
378,675
379,276
380,696
381,153
382,193
383,691
384,187
385,187
386,358
387,318
388,145
389,130
390,354
391,254
392,679
393,124
394,336
395,353
396,57
397,467
398,414
399,672
400,75
401,559
402,306
403,306
404,306
405,145
406,478
407,21
408,273
409,358
410,358
411,72
412,70
413,716
414,379
415,72
416,643
417,702
418,376
419,517
420,660
421,194
422,194
423,622
424,549
425,448
426,626
427,517
428,507
429,584
430,361
431,501
432,95
433,611
434,321
435,321
436,379
437,328
438,328
439,693
440,3
441,43
442,346
443,194
444,631
445,338
446,595
447,474
448,417
449,145
450,417
451,184
452,113
453,439
454,439
455,509
456,182
457,182
458,544
459,310
460,660
461,18
462,660
463,355
464,355
465,379
466,529
467,100
468,100
469,631
470,298
471,72
472,237
473,374
474,72
475,398
476,333
477,333
478,10
479,425
480,649
481,686
482,191
483,194
484,576
485,576
486,649
487,576
488,266
489,266
490,19
491,599
492,246
493,140
494,672
495,587
496,216
497,453
498,690
499,374
500,374
501,374
502,374
503,494
504,267
505,523
506,10
507,57
508,666
509,130
510,361
511,426
512,358
513,162
514,583
515,366
516,598
517,221
518,626
519,355
520,56
521,234
522,509
523,269
524,269
525,358
526,269
527,91
528,128
529,304
530,334
531,99
532,215
533,353
534,144
535,583
536,276
