,0
0,49
1,49
2,62
3,94
4,96
5,96
6,136
7,136
8,165
9,165
10,168
11,168
12,168
13,170
14,218
15,327
16,327
17,327
18,337
19,337
20,388
21,388
22,389
23,402
24,419
25,443
26,465
27,484
28,537
29,537
30,537
31,549
32,549
33,549
34,557
35,565
36,565
37,565
38,566
39,566
40,566
41,642
42,659
43,659
44,665
45,665
46,665
47,665
48,667
49,676
50,676
51,676
52,676
53,680
54,680
55,680
56,680
57,687
58,626
59,626
60,626
61,612
62,612
63,569
64,253
65,520
66,41
67,716
68,716
69,716
70,261
71,302
72,302
73,219
74,219
75,210
76,63
77,633
78,122
79,122
80,122
81,303
82,303
83,356
84,648
85,648
86,648
87,648
88,708
89,257
90,257
91,263
92,51
93,51
94,677
95,661
96,661
97,579
98,579
99,579
100,579
101,627
102,202
103,202
104,678
105,678
106,678
107,605
108,363
109,232
110,323
111,323
112,81
113,81
114,81
115,226
116,226
117,179
118,179
119,211
120,412
121,84
122,84
123,252
124,252
125,252
126,169
127,416
128,416
129,540
130,540
131,540
132,11
133,11
134,19
135,19
136,19
137,444
138,274
139,274
140,68
141,68
142,220
143,220
144,114
145,58
146,697
147,131
148,131
149,522
150,35
151,35
152,454
153,454
154,454
155,454
156,511
157,581
158,343
159,155
160,155
161,518
162,415
163,415
164,575
165,606
166,404
167,479
168,127
169,161
170,161
171,55
172,367
173,523
174,523
175,523
176,175
177,175
178,607
179,180
180,180
181,180
182,568
183,143
184,111
185,134
186,134
187,8
188,8
189,240
190,450
191,589
192,519
193,519
194,519
195,369
196,534
197,231
198,132
199,132
200,466
201,466
202,571
203,243
204,243
205,243
206,704
207,469
208,469
209,344
210,344
211,300
212,300
213,183
214,476
215,260
216,54
217,54
218,347
219,347
220,485
221,294
222,294
223,539
224,539
225,293
226,293
227,293
228,198
229,255
230,378
231,378
232,258
233,185
234,185
235,662
236,707
237,707
238,18
239,18
240,400
241,189
242,499
243,66
244,167
245,664
246,664
247,664
248,664
249,502
250,502
251,166
252,515
253,83
254,227
255,227
256,227
257,308
258,308
259,308
260,308
261,464
262,464
263,242
264,487
265,487
266,340
267,611
268,495
269,125
270,125
271,673
272,673
273,673
274,468
275,320
276,82
277,542
278,542
279,496
280,496
281,586
282,458
283,206
284,206
285,206
286,331
287,5
288,332
289,497
290,497
291,12
292,12
293,224
294,224
295,291
296,291
297,312
298,312
299,312
300,52
301,52
302,279
303,582
304,582
305,582
306,582
307,375
308,375
309,133
310,366
311,366
312,140
313,140
314,362
315,653
316,653
317,373
318,373
319,91
320,514
321,177
322,177
323,177
324,555
325,6
326,118
327,15
328,15
329,71
330,365
331,365
332,22
333,574
334,521
335,313
336,147
337,147
338,147
339,431
340,137
341,137
342,239
343,239
344,144
345,506
346,591
347,307
348,86
349,86
350,86
351,491
352,696
353,696
354,92
355,110
356,204
357,204
358,163
359,628
360,628
361,229
362,229
363,34
364,34
365,457
366,76
367,361
368,39
369,510
370,614
371,614
372,383
373,383
374,590
375,590
376,382
377,382
378,675
379,428
380,449
381,153
382,193
383,193
384,187
385,187
386,187
387,318
388,318
389,486
390,354
391,405
392,405
393,405
394,670
395,670
396,636
397,467
398,414
399,414
400,292
401,559
402,306
403,306
404,306
405,306
406,478
407,21
408,276
409,276
410,276
411,70
412,70
413,156
414,553
415,643
416,643
417,702
418,376
419,396
420,663
421,194
422,194
423,583
424,13
425,701
426,701
427,701
428,507
429,584
430,501
431,501
432,543
433,543
434,321
435,321
436,352
437,352
438,352
439,690
440,280
441,280
442,346
443,346
444,596
445,338
446,595
447,249
448,417
449,417
450,417
451,417
452,113
453,439
454,439
455,618
456,182
457,182
458,544
459,544
460,660
461,660
462,660
463,355
464,355
465,437
466,100
467,100
468,100
469,624
470,624
471,624
472,624
473,644
474,644
475,398
476,333
477,333
478,647
479,647
480,647
481,191
482,191
483,429
484,576
485,576
486,576
487,576
488,266
489,266
490,599
491,599
492,455
493,672
494,672
495,587
496,587
497,453
498,693
499,374
500,374
501,374
502,374
503,494
504,107
505,267
506,267
507,380
508,380
509,380
510,551
511,426
512,162
513,162
514,162
515,278
516,598
517,698
518,588
519,588
520,470
521,234
522,610
523,269
524,269
525,269
526,269
527,593
528,128
529,304
530,334
531,215
532,215
533,613
534,459
535,616
536,275
