,0
0,3
1,3
2,3
3,3
4,3
5,3
6,400
7,3
8,710
9,3
10,3
11,626
12,3
13,3
14,10
15,360
16,10
17,10
18,10
19,10
20,57
21,635
22,672
23,23
24,23
25,23
26,23
27,622
28,23
29,23
30,23
31,23
32,23
33,23
34,23
35,23
36,23
37,23
38,711
39,24
40,631
41,24
42,711
43,24
44,24
45,24
46,160
47,24
48,24
49,24
50,24
51,631
52,38
53,38
54,631
55,631
56,631
57,38
58,423
59,237
60,259
61,423
62,440
63,336
64,237
65,75
66,336
67,53
68,53
69,237
70,57
71,57
72,57
73,672
74,57
75,57
76,298
77,57
78,57
79,72
80,72
81,558
82,366
83,72
84,72
85,72
86,72
87,72
88,145
89,366
90,72
91,72
92,72
93,74
94,75
95,75
96,74
97,74
98,74
99,74
100,75
101,75
102,467
103,75
104,75
105,75
106,75
107,75
108,75
109,75
110,467
111,75
112,75
113,75
114,75
115,75
116,75
117,75
118,74
119,85
120,85
121,85
122,85
123,85
124,85
125,24
126,85
127,85
128,85
129,95
130,95
131,95
132,95
133,95
134,95
135,611
136,95
137,95
138,122
139,611
140,99
141,99
142,99
143,221
144,99
145,501
146,99
147,35
148,99
149,35
150,99
151,99
152,99
153,99
154,710
155,103
156,3
157,103
158,103
159,103
160,103
161,440
162,130
163,130
164,130
165,130
166,635
167,130
168,130
169,112
170,72
171,130
172,130
173,130
174,124
175,19
176,72
177,124
178,106
179,262
180,282
181,124
182,124
183,124
184,124
185,268
186,262
187,358
188,130
189,130
190,130
191,130
192,130
193,130
194,130
195,130
196,130
197,130
198,130
199,130
200,130
201,130
202,130
203,130
204,130
205,130
206,130
207,130
208,138
209,138
210,638
211,138
212,138
213,622
214,138
215,138
216,138
217,138
218,138
219,622
220,145
221,145
222,145
223,145
224,145
225,145
226,315
227,152
228,152
229,675
230,710
231,610
232,152
233,152
234,259
235,298
236,479
237,3
238,152
239,152
240,152
241,152
242,152
243,423
244,631
245,423
246,158
247,423
248,423
249,158
250,158
251,184
252,448
253,72
254,184
255,412
256,184
257,184
258,626
259,196
260,645
261,57
262,152
263,196
264,196
265,298
266,3
267,645
268,196
269,298
270,99
271,627
272,216
273,112
274,558
275,122
276,216
277,216
278,216
279,216
280,558
281,560
282,221
283,221
284,221
285,99
286,221
287,221
288,145
289,221
290,221
291,221
292,360
293,221
294,222
295,237
296,355
297,23
298,237
299,237
300,237
301,423
302,237
303,237
304,237
305,245
306,245
307,627
308,245
309,216
310,245
311,716
312,245
313,362
314,184
315,448
316,245
317,245
318,184
319,246
320,74
321,246
322,440
323,74
324,509
325,95
326,254
327,656
328,254
329,254
330,656
331,57
332,259
333,259
334,259
335,259
336,259
337,259
338,259
339,259
340,259
341,259
342,262
343,262
344,262
345,262
346,262
347,262
348,262
349,262
350,262
351,262
352,262
353,358
354,262
355,716
356,262
357,298
358,707
359,286
360,286
361,286
362,286
363,286
364,286
365,286
366,286
367,286
368,286
369,286
370,666
371,286
372,286
373,286
374,3
375,423
376,237
377,315
378,315
379,315
380,423
381,315
382,315
383,328
384,328
385,680
386,328
387,328
388,302
389,328
390,328
391,328
392,328
393,328
394,336
395,336
396,336
397,336
398,336
399,626
400,336
401,336
402,336
403,336
404,336
405,79
406,336
407,336
408,336
409,308
410,194
411,342
412,302
413,626
414,342
415,448
416,580
417,342
418,660
419,194
420,346
421,342
422,346
423,353
424,353
425,353
426,57
427,353
428,353
429,354
430,353
431,353
432,71
433,353
434,353
435,353
436,353
437,353
438,353
439,358
440,358
441,358
442,358
443,358
444,358
445,92
446,358
447,358
448,358
449,358
450,358
451,358
452,358
453,358
454,358
455,379
456,379
457,379
458,379
459,379
460,379
461,379
462,379
463,379
464,577
465,580
466,379
467,379
468,379
469,381
470,381
471,468
472,381
473,381
474,145
475,381
476,381
477,254
478,381
479,622
480,423
481,423
482,423
483,423
484,423
485,423
486,423
487,423
488,423
489,423
490,423
491,423
492,423
493,423
494,357
495,529
496,138
497,635
498,425
499,440
500,440
501,217
502,440
503,217
504,626
505,3
506,448
507,448
508,622
509,448
510,448
511,298
512,423
513,626
514,145
515,622
516,471
517,467
518,467
519,130
520,130
521,145
522,24
523,448
524,448
525,558
526,23
527,440
528,482
529,23
530,509
531,336
532,72
533,493
534,493
535,493
536,493
537,184
538,493
539,508
540,508
541,508
542,237
543,650
544,508
545,509
546,509
547,509
548,509
549,509
550,509
551,509
552,509
553,509
554,509
555,517
556,517
557,517
558,517
559,517
560,72
561,517
562,72
563,517
564,517
565,75
566,529
567,337
568,529
569,529
570,529
571,580
572,529
573,529
574,529
575,529
576,529
577,529
578,529
579,529
580,529
581,529
582,558
583,558
584,558
585,558
586,558
587,75
588,145
589,558
590,558
591,558
592,558
593,558
594,560
595,560
596,560
597,560
598,560
599,560
600,560
601,560
602,560
603,560
604,560
605,560
606,560
607,560
608,580
609,580
610,580
611,580
612,580
613,580
614,580
615,580
616,580
617,580
618,580
619,346
620,580
621,580
622,622
623,622
624,622
625,622
626,622
627,622
628,622
629,622
630,622
631,622
632,622
633,622
634,622
635,420
636,622
637,622
638,622
639,631
640,631
641,24
642,631
643,631
644,631
645,631
646,631
647,631
648,631
649,631
650,631
651,631
652,631
653,217
654,631
655,154
656,221
657,237
658,130
659,635
660,635
661,635
662,635
663,635
664,635
665,650
666,650
667,650
668,423
669,315
670,650
671,650
672,138
673,650
674,650
675,237
676,650
677,650
678,650
679,656
680,656
681,656
682,656
683,656
684,95
685,656
686,656
687,656
688,656
689,656
690,656
691,672
692,658
693,262
694,57
695,658
696,658
697,276
698,658
699,10
700,658
701,672
702,658
703,658
704,658
705,674
706,679
707,679
708,679
709,679
710,628
711,679
712,95
713,358
714,679
715,679
716,679
717,681
718,681
719,72
720,681
721,72
722,681
723,681
724,681
725,681
726,681
727,72
728,216
729,695
730,448
731,701
732,695
733,695
734,695
735,216
736,587
737,448
738,710
739,710
740,710
741,710
742,710
743,710
744,710
745,710
746,710
747,710
748,710
749,710
750,710
751,710
752,710
753,711
754,711
755,711
756,711
757,711
758,315
759,497
760,217
761,714
762,712
763,227
764,712
765,328
766,715
767,715
768,715
769,328
770,715
771,715
772,715
773,715
774,715
775,715
776,715
777,678
778,715
779,328
780,715
781,328
782,715
783,715
