,0
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,23
24,23
25,23
26,23
27,23
28,23
29,23
30,23
31,23
32,23
33,23
34,23
35,23
36,23
37,23
38,24
39,24
40,24
41,24
42,24
43,24
44,24
45,24
46,24
47,24
48,24
49,24
50,24
51,24
52,38
53,38
54,38
55,38
56,38
57,38
58,53
59,53
60,53
61,53
62,53
63,53
64,53
65,53
66,53
67,53
68,53
69,57
70,57
71,57
72,57
73,57
74,57
75,57
76,57
77,57
78,57
79,72
80,72
81,72
82,72
83,72
84,72
85,72
86,72
87,72
88,72
89,72
90,72
91,72
92,72
93,74
94,74
95,74
96,74
97,74
98,74
99,74
100,74
101,74
102,75
103,75
104,75
105,75
106,75
107,75
108,75
109,75
110,75
111,75
112,75
113,75
114,75
115,75
116,75
117,75
118,75
119,85
120,85
121,85
122,85
123,85
124,85
125,85
126,85
127,85
128,85
129,95
130,95
131,95
132,95
133,95
134,95
135,95
136,95
137,95
138,95
139,95
140,99
141,99
142,99
143,99
144,99
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,99
154,103
155,103
156,103
157,103
158,103
159,103
160,103
161,103
162,112
163,112
164,112
165,112
166,112
167,112
168,112
169,112
170,112
171,112
172,112
173,112
174,124
175,124
176,124
177,124
178,124
179,124
180,124
181,124
182,124
183,124
184,124
185,124
186,124
187,124
188,130
189,130
190,130
191,130
192,130
193,130
194,130
195,130
196,130
197,130
198,130
199,130
200,130
201,130
202,130
203,130
204,130
205,130
206,130
207,130
208,138
209,138
210,138
211,138
212,138
213,138
214,138
215,138
216,138
217,138
218,138
219,138
220,145
221,145
222,145
223,145
224,145
225,145
226,152
227,152
228,152
229,152
230,152
231,152
232,152
233,152
234,152
235,152
236,152
237,152
238,152
239,152
240,152
241,152
242,152
243,158
244,158
245,158
246,158
247,158
248,158
249,158
250,158
251,184
252,184
253,184
254,184
255,184
256,184
257,184
258,196
259,196
260,196
261,196
262,196
263,196
264,196
265,196
266,196
267,196
268,196
269,196
270,196
271,216
272,216
273,216
274,216
275,216
276,216
277,216
278,216
279,216
280,216
281,216
282,221
283,221
284,221
285,221
286,221
287,221
288,221
289,221
290,221
291,221
292,221
293,221
294,221
295,237
296,237
297,237
298,237
299,237
300,237
301,237
302,237
303,237
304,237
305,245
306,245
307,245
308,245
309,245
310,245
311,245
312,245
313,245
314,245
315,245
316,245
317,245
318,245
319,246
320,246
321,246
322,246
323,246
324,246
325,254
326,254
327,254
328,254
329,254
330,254
331,259
332,259
333,259
334,259
335,259
336,259
337,259
338,259
339,259
340,259
341,259
342,262
343,262
344,262
345,262
346,262
347,262
348,262
349,262
350,262
351,262
352,262
353,262
354,262
355,262
356,262
357,286
358,286
359,286
360,286
361,286
362,286
363,286
364,286
365,286
366,286
367,286
368,286
369,286
370,286
371,286
372,286
373,286
374,298
375,298
376,298
377,315
378,315
379,315
380,315
381,315
382,315
383,328
384,328
385,328
386,328
387,328
388,328
389,328
390,328
391,328
392,328
393,328
394,336
395,336
396,336
397,336
398,336
399,336
400,336
401,336
402,336
403,336
404,336
405,336
406,336
407,336
408,336
409,342
410,342
411,342
412,342
413,342
414,342
415,342
416,342
417,342
418,342
419,342
420,342
421,342
422,342
423,353
424,353
425,353
426,353
427,353
428,353
429,353
430,353
431,353
432,353
433,353
434,353
435,353
436,353
437,353
438,353
439,358
440,358
441,358
442,358
443,358
444,358
445,358
446,358
447,358
448,358
449,358
450,358
451,358
452,358
453,358
454,358
455,379
456,379
457,379
458,379
459,379
460,379
461,379
462,379
463,379
464,379
465,379
466,379
467,379
468,379
469,381
470,381
471,381
472,381
473,381
474,381
475,381
476,381
477,381
478,381
479,420
480,420
481,423
482,423
483,423
484,423
485,423
486,423
487,423
488,423
489,423
490,423
491,423
492,423
493,423
494,425
495,425
496,425
497,425
498,425
499,440
500,440
501,440
502,440
503,440
504,448
505,448
506,448
507,448
508,448
509,448
510,448
511,448
512,448
513,448
514,448
515,448
516,471
517,471
518,471
519,471
520,471
521,471
522,471
523,471
524,471
525,471
526,482
527,482
528,482
529,482
530,482
531,482
532,493
533,493
534,493
535,493
536,493
537,493
538,493
539,508
540,508
541,508
542,508
543,508
544,508
545,509
546,509
547,509
548,509
549,509
550,509
551,509
552,509
553,509
554,509
555,517
556,517
557,517
558,517
559,517
560,517
561,517
562,517
563,517
564,517
565,517
566,529
567,529
568,529
569,529
570,529
571,529
572,529
573,529
574,529
575,529
576,529
577,529
578,529
579,529
580,529
581,529
582,558
583,558
584,558
585,558
586,558
587,558
588,558
589,558
590,558
591,558
592,558
593,558
594,560
595,560
596,560
597,560
598,560
599,560
600,560
601,560
602,560
603,560
604,560
605,560
606,560
607,560
608,580
609,580
610,580
611,580
612,580
613,580
614,580
615,580
616,580
617,580
618,580
619,580
620,580
621,580
622,622
623,622
624,622
625,622
626,622
627,622
628,622
629,622
630,622
631,622
632,622
633,622
634,622
635,622
636,622
637,622
638,622
639,631
640,631
641,631
642,631
643,631
644,631
645,631
646,631
647,631
648,631
649,631
650,631
651,631
652,631
653,631
654,631
655,635
656,635
657,635
658,635
659,635
660,635
661,635
662,635
663,635
664,635
665,650
666,650
667,650
668,650
669,650
670,650
671,650
672,650
673,650
674,650
675,650
676,650
677,650
678,650
679,656
680,656
681,656
682,656
683,656
684,656
685,656
686,656
687,656
688,656
689,656
690,656
691,658
692,658
693,658
694,658
695,658
696,658
697,658
698,658
699,658
700,658
701,658
702,658
703,658
704,658
705,674
706,679
707,679
708,679
709,679
710,679
711,679
712,679
713,679
714,679
715,679
716,679
717,681
718,681
719,681
720,681
721,681
722,681
723,681
724,681
725,681
726,681
727,681
728,695
729,695
730,695
731,695
732,695
733,695
734,695
735,695
736,695
737,695
738,710
739,710
740,710
741,710
742,710
743,710
744,710
745,710
746,710
747,710
748,710
749,710
750,710
751,710
752,710
753,711
754,711
755,711
756,711
757,711
758,711
759,711
760,711
761,712
762,712
763,712
764,712
765,715
766,715
767,715
768,715
769,715
770,715
771,715
772,715
773,715
774,715
775,715
776,715
777,715
778,715
779,715
780,715
781,715
782,715
783,715
